cell_id,mission_id,cycle_instance_id,raw_cycle_number,chg_total_dur_s,chg_cc_dur_s,chg_cv_dur_s,chg_energy_Wh,chg_cc_energy_Wh,chg_cv_energy_Wh,chg_cv_fraction,cv_setpoint_V,chg_mean_I_A,chg_mean_C_rate,chg_max_C_rate,chg_cv_mean_I_A_proxy,dis_total_dur_s,dis_flight_Wh_abs,dis_mean_C_rate,dis_mean_C_rate_med,dis_max_C_rate,dis_max_C_rate_p90,dis_vi_R_ohm_med,dis_vi_R_ohm_p90,temp_mean_C,temp_mean_C_med,temp_max_C_max,temp_th_gain_med,temp_th_gain_max,temp_slope_med,gap_count,q0_ah_audit,chg_cum_Wh,dis_cum_Wh,SOH_end_pct,RUL90_event_mission,RUL90_observed,RUL90_missions,RUL85_event_mission,RUL85_observed,RUL85_missions,RUL80_event_mission,RUL80_observed,RUL80_missions,SOH_m_plus_5_pct,SOH_drop_5_pct
VAH01,1,1,0,4955.774235386598,2982.2681416501,1973.5060937364979,11.621741068504733,9.458695739688881,2.1630453288158518,0.39822356709567613,4.2,2.182509012065476,0.7064649316905954,0.9685751534591368,0.9394644684174362,979.9420465446892,6.263165316660343,2.0680686105463346,4.764936234635137,5.629839978088711,5.469730987746736,-0.16383768687156675,-0.11077996331042368,30.575878398096307,27.08460488118812,44.085663,0.00035060842795844524,0.0013950634594520213,0.002122121149636052,0,3.089338074917116,11.621741068504733,6.263165316660343,99.94203856163111,322,True,321.0,638,True,637.0,,False,,99.65223136978663,0.28980719184447423
VAH01,2,2,1,3256.370154669312,1426.7860677687058,1829.584086900606,6.780371710345008,4.738288469354714,2.0420832409902943,0.5618477015818254,4.2,1.871046164054054,0.6056462966113711,0.9685113857538152,0.9566967029491094,979.9440465449079,6.262847873364864,2.068304761243043,4.7604301893170655,5.651075271348662,5.48648965861554,-0.16523374207074126,-0.11355925179721821,30.746605427498558,28.513023795918368,44.14101,0.00033008917178728876,0.0014357447645834025,0.002153328357873002,0,3.089338074917116,18.40211277884974,12.526013190025207,99.88407712326222,322,True,320.0,638,True,636.0,,False,,99.59426993141773,0.28980719184448844
VAH01,3,3,2,3068.572145749298,1427.290067792601,1641.2820779566973,6.746749362442433,4.739538708028164,2.0072106544142696,0.5348683361511519,4.2,1.9687803213333332,0.6372822506277995,0.9687663918363143,1.0482453310853874,979.9420465447038,6.262799730433217,2.0696860392669993,4.758469984025429,5.664723502451092,5.497318903971246,-0.1652708087230142,-0.11505896643054454,30.734164052083333,28.39328763265306,44.338688,0.00031773509011482183,0.001434538636226997,0.0024360754697890655,0,3.089338074917116,25.148862141292174,18.788812920458426,99.82611568489331,322,True,319.0,638,True,635.0,,False,,99.53630849304884,0.28980719184447423
VAH01,4,4,3,3290.862156307594,1437.2300682647983,1853.6320880427957,6.807269026610468,4.770687169396723,2.0365818572137457,0.563266402541334,4.2,1.8531034548214287,0.5998383504437744,0.9685112886456344,0.9417411379302763,979.9420465447038,6.2628503771553765,2.069678249867154,4.757966482367668,5.673077071848217,5.503708428044467,-0.16583539071238265,-0.11624160761139339,30.66189660616638,28.31276418367347,44.291248,0.0003503457329604172,0.001477135153021288,0.002141232333547658,0,3.089338074917116,31.95613116790264,25.051663297613803,99.76815424652442,322,True,318.0,638,True,634.0,,False,,99.47834705467994,0.28980719184447423
VAH01,5,5,4,3278.3601557138027,1429.3340678897002,1849.0260878241024,6.77916765203519,4.745934532235836,2.033233119799353,0.5640094437462778,4.2,1.8525757233035713,0.5996675269517967,0.9689577920604597,0.9425346981410962,979.9420465448056,6.262590904614322,2.0704876370696215,4.757629129399768,5.683344643486795,5.511909731814265,-0.1657718967486313,-0.11731548276665128,30.55464119732247,28.22352675510204,44.220081,0.00037261560964123086,0.001428065869236494,0.002261877586162494,0,3.089338074917116,38.73529881993783,31.314254202228128,99.71019280815553,322,True,317.0,638,True,633.0,,False,,99.42038561631105,0.28980719184447423
VAH01,6,6,5,3274.6981555398015,1432.3820680345016,1842.3160875053,6.782141443109244,4.755144339535727,2.0269971035735166,0.5625911152723059,4.2,1.8510576223214286,0.5991761268701843,0.9697230045243185,0.9430662309039309,979.9420465447038,6.263189645504212,2.0695924817420543,4.753144933422352,5.682770734138901,5.510659820051176,-0.16681896295086482,-0.11792567827158526,30.781168282386368,28.226592632653063,44.449387,0.0003316592063096673,0.001470156131137426,0.0020602269058387175,0,3.089338074917116,45.51744026304708,37.57744384773234,99.65223136978663,322,True,316.0,638,True,632.0,,False,,99.36242417794215,0.28980719184448844
VAH01,7,7,6,3242.088157495891,1438.8000683392966,1803.2880891565947,6.778540218215213,4.77661338297341,2.0019268352418034,0.5562119231666451,4.2,1.8615911059459458,0.6025857516406296,0.9685751534591368,0.9515602624274352,979.940049282508,6.263223746401537,2.0681881753807305,4.748245267760278,5.680347561336682,5.507841222737175,-0.16781882431999148,-0.11844193431004679,31.042398707087486,28.547395285714284,44.773579,0.00035938741329700943,0.001447050400312482,0.002111333409287208,0,3.089338074917116,52.29598048126229,43.840667594133876,99.59426993141773,322,True,315.0,638,True,631.0,,False,,99.30446273957325,0.28980719184447423
VAH01,8,8,7,3229.750162428798,1441.8100725107943,1787.9400899180037,6.771250580418554,4.786732651520419,1.984517928898136,0.5535846427741824,4.2,1.883610854954955,0.6097134108592146,0.9685751534591368,0.9513827544998914,979.9420492825157,6.263172544208366,2.0671722715790404,4.744221713808065,5.6750545181010565,5.502701221994322,-0.16870885905294214,-0.11880898793170717,31.232802874862784,28.81799306,44.99498,0.0003352860247058556,0.0014338110580585264,0.002039422270176763,0,3.089338074917116,59.06723106168084,50.10384013834224,99.53630849304884,322,True,314.0,638,True,630.0,,False,,99.24650130120436,0.28980719184447423
VAH01,9,9,8,3223.554162117187,1443.372072589089,1780.182089528098,6.766460884458931,4.7927443700125405,1.9737165144463913,0.5522420285188875,4.2,1.8812430910810811,0.6089469800522085,0.9687664889444951,0.9503280716811856,979.9400492827699,6.26340311844936,2.0664041474503616,4.740391950304165,5.675437124332985,5.502586375385955,-0.16921723224185395,-0.11917506459851275,31.355279004805123,29.009502480000002,45.200565,0.0003546815292414774,0.0014175559883531563,0.0021224529040880353,0,3.089338074917116,65.83369194613978,56.3672432567916,99.47834705467994,322,True,313.0,638,True,629.0,,False,,99.18853986283547,0.28980719184447423
VAH01,10,10,9,3202.6761610671965,1448.3100728376885,1754.366088229508,6.761775213377823,4.808555776373328,1.9532194370044944,0.5477812928937897,4.2,1.8926840510909089,0.6126503494253175,0.9685112886456344,0.9542980225698343,979.9420492826175,6.262944039296114,2.0658281818721407,4.738171656935241,5.675883498270237,5.5026501430912775,-0.16980238980174478,-0.1196494130841871,31.53764242477406,29.29858634,45.232193,0.0003483606944866876,0.0014392430520398397,0.001990928098896246,0,3.089338074917116,72.5954671595176,62.63018729608772,99.42038561631105,322,True,312.0,638,True,628.0,,False,,99.13057842446656,0.28980719184448844
