cell_id,mission_id,chg_total_dur_s,chg_cc_dur_s,chg_cv_dur_s,chg_energy_Wh,chg_cv_energy_Wh,chg_mean_C_rate_med,chg_max_C_rate_p90,dis_total_dur_s,dis_flight_Wh_abs,dis_mean_C_rate_med,dis_max_C_rate_p90,dis_vi_R_ohm_med,dis_vi_R_ohm_p90,dis_dSOC_sum,dis_dSOC_baseline_sum,temp_mean_C_med,temp_max_C_max,temp_th_gain_med,temp_th_gain_max,SOH_end_pct,RUL_med,chg_cv_fraction,cv_setpoint_V,chg_cv_mean_I_A_proxy,chg_cum_Wh,dis_cum_Wh
VAH01,1.0,5974509.995018635,5948404.896967411,26105.09805122388,13126.393810752252,16.294200618303684,0.39709113143245034,0.9681732662856778,40339.98567400333,49.71051510722514,0.1975888836304581,5.756441488221246,-0.10537490703328334,-0.06153446608850641,0.0,445.9174329864092,24.606128451612904,61.157101,0.00014697191136800236,0.0026512329815371128,100.0,249.0,0.004369412399174077,4.2,0.5350088187918889,13126.393810752252,49.71051510722514
VAH01,2.0,6252179.271091569,6230252.733351398,21926.537740171596,15403.829984667213,14.065646198086423,0.40061757962283945,0.9681605580631467,33079.987221008065,45.09083307134496,0.783709534771017,5.8571836079242745,-0.10716318900539054,-0.06140059857891158,-4.76336798911592,406.39134903939123,25.33941131693601,61.441761,0.00015992667340329337,0.0026961268748721817,100.0,248.0,0.0035070231977438857,4.2,0.5498482392730923,28530.223795419464,94.8013481785701
VAH01,3.0,5571147.35377386,5553012.828345643,18134.525428217203,12636.932893147163,12.50046350621638,0.4149945507394661,0.9681286871617101,25819.98868006814,40.51085191110772,1.384528232530195,5.953423857598865,-0.10849964474593261,-0.06134183726307827,-5.211025134189683,366.7880019354375,25.63607917141009,61.188732,0.00020577794352776062,0.0026550276313775712,100.0,247.0,0.0032550791204495767,4.2,0.5908444115475087,41167.156688566625,135.31220008967782
VAH01,4.0,5573744.835928459,5554734.346387146,19010.489541312774,10876.378673766203,12.618567168610607,0.4036566661642476,0.9822792734702754,25819.988680088623,40.50450436530086,1.4061164850377348,6.0671671406520975,-0.10963651232695973,-0.06137481952917541,-4.8012017879967175,372.3869734367588,25.977247260869564,61.615715,0.00021732382091617508,0.0027067854318753733,98.55096421434084,246.0,0.003410721175962491,4.2,0.5689445657065942,52043.53536233283,175.8167044549787
VAH01,5.0,5576161.131802264,5556810.800203545,19350.33159871894,9049.723698661011,12.771542715328787,0.40944812116332063,0.9970230544115024,25819.988788253235,40.49500773572453,1.4268724377753987,6.165259610061461,-0.1106647463222897,-0.061359836374560814,-5.143211044643024,378.1715463410465,25.86029658064516,61.726414,0.00021544493944111785,0.0026960831932915704,97.10192842868167,245.0,0.003470188744790584,4.2,0.5657286314340831,61093.25906099384,216.31171219070322
VAH01,6.0,5631334.496247382,5621204.10776622,10130.388481161288,17264.34562034242,8.69626153872925,0.6733237014606728,1.0192447109185412,4039.992191882775,26.717758243284578,5.167126122417066,6.4954887497240605,-0.1112279538873652,-0.06144727229584623,-5.086822986044794,261.621099218059,30.21342270915033,62.153397,0.0005032919464461865,0.002748070725845284,95.02744564321873,244.0,0.0017989321159863605,4.2,0.7357998635125839,78357.60468133626,243.0294704339878
VAH01,7.0,5633158.780326884,5623157.363848331,10001.416478552215,17258.942539439937,8.669739846696807,0.6840645616831202,1.034231755308874,4039.992194723527,26.717599768683616,5.247263214080418,6.611636156326915,-0.11170618874577151,-0.061604471642152846,-5.067662167231234,265.6436727721707,30.180528150326797,62.287819,0.0005026023113523063,0.002769891522875372,93.64301263749849,243.0,0.0017754543886603971,4.2,0.7430153117629897,95616.5472207762,269.7470702026714
VAH01,8.0,5634928.534400155,5624734.095910858,10194.438489296692,17257.46463603015,8.68160697764809,0.6852078204345856,1.034231755308874,4039.992194703751,26.717575416866516,5.247288917323987,6.60778133626381,-0.11206529707345814,-0.06163761867512954,-5.096127721021915,265.629604016094,30.19058002614379,62.517124,0.00048229283166796187,0.0028057617192624867,93.64301263749849,242.0,0.0018091513365363209,4.2,0.7299448044367989,112874.01185680635,296.4646456195379
VAH01,9.0,5636535.208454096,5626313.445960889,10221.762493207338,17261.51205147611,8.677656917142569,0.684449651297959,1.0342453608001567,4039.992200354638,26.717513333211716,5.24240251346635,6.5891421243080055,-0.11240692153784085,-0.06186913127826925,-5.110379311776896,265.58839426546524,30.33115025523243,62.667355,0.0004900791531244438,0.0028214395843319346,93.64301263749849,241.0,0.0018134833040474893,4.2,0.7276623427914534,130135.52390828246,323.18215895274966
VAH01,10.0,5638234.058536425,5628114.134034457,10119.92450196785,17274.116319877066,8.63305310673826,0.6855199536244587,1.034422373910696,4039.9922010251903,26.717497226072684,5.241085847745957,6.589183016828807,-0.11269938865832095,-0.061841296605326515,-5.128439910073638,265.58700945134416,30.467926004133986,62.778061,0.0004945610439876639,0.0028223204881483908,93.64301263749849,240.0,0.001794874848561144,4.2,0.7312070168445175,147409.64022815952,349.89965617882234
